Date,Country,City,Street,Type,Subtype,Location
,FR,Verrières-le-Buisson,Rue de la Boulie,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.260525 48.743118)
,FR,La Ville-du-Bois,Vieux Chemin de Montlhéry,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.268137 48.654532)
,FR,La Ville-du-Bois,Vieux Chemin de Montlhéry,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.268234 48.651728)
,FR,Verrières-le-Buisson,Rue de la Boulie,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.261373 48.743706)
,FR,Verrières-le-Buisson,Avenue Cambacérès,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.269145 48.741471)
,FR,La Ville-du-Bois,Voie des Postes,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.275424 48.663771)
,FR,Wissous,Rue Marcellin Berthelot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.317066 48.739316)
,FR,Orsay,Boulevard de la Terrasse,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.199614 48.699915)
,FR,Orsay,Rue Guy Môquet,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.190392 48.700377)
,FR,La Ville-du-Bois,Vieux Chemin de Montlhéry,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.267993 48.653964)
,FR,Longjumeau,Chemin des Ruches,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.324818 48.688449)
,FR,Igny,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.237486 48.73582)
,FR,Longjumeau,Rue du Président François Mitterrand,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.29644 48.701811)
,FR,Wissous,Avenue Le Concorde,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.304381 48.721618)
,FR,Verrières-le-Buisson,Rue d'Estienne d'Orves,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.26313 48.744863)
,FR,Orsay,Rue de Launay,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.18029 48.699073)
,FR,Orsay,Boulevard de la Terrasse,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.199736 48.699913)
,FR,Wissous,Rue Marcellin Berthelot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.316205 48.737876)
,FR,Igny,Route de Vauhallan,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.229356 48.737583)
,FR,Les Ulis,Avenue du Canada,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.192951 48.685438)
,FR,Longjumeau,Rue de Ballainvilliers,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.310751 48.682591)
